play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
165,2020_01_ARI_SF,3.0,14,45,0,1,759,1659,3459,0,3,3,SF,ARI,1,0,1,short,middle,10,G.Kittle,1,11,-0.538702064,0,0.026238918,1,0.38334651151672006,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
245,2020_01_ARI_SF,1.0,10,75,0,1,710,1610,3410,-3,3,3,ARI,SF,1,0,1,short,left,3,D.Hopkins,0,3,-0.414010514,0,-0.0084894,1,-0.414010514,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
274,2020_01_ARI_SF,2.0,7,72,0,1,684,1584,3384,-3,3,3,ARI,SF,1,1,1,short,left,6,L.Fitzgerald,1,7,0.9404095686040819,1,0.030309111,1,0.6322220261208713,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",HITCH
320,2020_01_ARI_SF,2.0,20,75,0,1,658,1558,3358,-3,3,3,ARI,SF,1,0,1,short,right,4,L.Fitzgerald,,0,-0.80585134,0,-0.025485337,0,-0.508633704,ARI,EMPTY,"1 RB, 1 TE, 3 WR",HITCH
372,2020_01_ARI_SF,3.0,20,75,0,1,655,1555,3355,-3,3,3,ARI,SF,1,1,1,short,right,0,L.Fitzgerald,10,10,-0.361322523,0,0.019321769,1,-1.002075114,ARI,EMPTY,"1 RB, 0 TE, 4 WR",SCREEN
431,2020_01_ARI_SF,1.0,10,76,0,1,605,1505,3305,3,3,3,SF,ARI,1,0,1,short,middle,5,R.Mostert,71,76,5.877869440708309,1,0.12526643350020938,1,0.2744638021104038,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",ANGLE
491,2020_01_ARI_SF,1.0,10,75,0,1,593,1493,3293,-10,3,3,ARI,SF,1,0,1,short,left,-4,D.Hopkins,5,1,-0.568728252,0,-0.01557146,1,-1.350174845,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",SCREEN
515,2020_01_ARI_SF,2.0,9,74,0,1,560,1460,3260,-10,3,3,ARI,SF,1,1,1,short,right,-6,K.Drake,8,2,-0.546952432,0,-0.010637984,1,-1.588401764,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN
547,2020_01_ARI_SF,3.0,7,72,0,1,523,1423,3223,-10,3,3,ARI,SF,1,1,1,deep,right,18,C.Kirk,,0,-1.29155719,0,-0.019565448,0,2.5668710242025554,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",GO
599,2020_01_ARI_SF,1.0,10,69,0,1,511,1411,3211,10,3,3,SF,ARI,0,0,1,short,right,1,R.Mostert,4,5,0.089371925,1,0.012755393981933594,1,-0.410313119,SF,I_FORM,"2 RB, 1 TE, 2 WR",OUT
653,2020_01_ARI_SF,3.0,5,64,0,1,437,1337,3137,10,3,3,SF,ARI,1,0,1,short,right,4,T.Taylor,,0,-1.488559843,0,-0.019055367,0,-0.744582372,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
700,2020_01_ARI_SF,1.0,10,10,1,1,425,1325,3125,-10,3,3,ARI,SF,0,0,1,short,right,-2,C.Edmonds,12,10,1.9691477211890742,1,0.051280162,1,-0.806058851,ARI,I_FORM,"2 RB, 2 TE, 1 WR",FLAT
785,2020_01_ARI_SF,1.0,10,75,0,1,415,1315,3115,3,3,3,SF,ARI,1,0,1,,,,,,-7,-1.607616525,0,-0.023678064,0,,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",
804,2020_01_ARI_SF,2.0,17,82,0,1,369,1269,3069,3,3,3,SF,ARI,0,0,1,short,middle,12,G.Kittle,2,14,1.2230980810709298,1,0.019123137,1,0.7878782320767641,SF,SINGLEBACK,"2 RB, 1 TE, 2 WR",POST
828,2020_01_ARI_SF,3.0,3,68,0,1,329,1229,3029,3,3,3,SF,ARI,1,0,1,deep,left,22,J.McKinnon,,0,-1.630610226,0,-0.039189935,0,2.186558203306049,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",WHEEL
894,2020_01_ARI_SF,2.0,8,76,0,1,292,1192,2992,-3,3,3,ARI,SF,1,1,1,deep,right,28,C.Kirk,,0,-0.720368133,0,-0.025872797,0,2.5656866878271103,ARI,SHOTGUN,"2 RB, 0 TE, 3 WR",GO
956,2020_01_ARI_SF,3.0,10,78,0,1,269,1169,2969,-3,3,3,ARI,SF,1,1,1,,,,,,1,-1.192366484,0,-0.024907202,0,,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",
1053,2020_01_ARI_SF,1.0,10,46,0,1,161,1061,2861,3,3,3,SF,ARI,1,0,1,short,left,2,G.Kittle,12,14,0.8317861552350223,1,0.006561577,1,-0.479683017,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",CROSS
