play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route,season,receiver_position
89,2022_01_BAL_NYJ,1.0,10,59,0,1,869,1769,3569,0,3,3,NYJ,BAL,1,1,1,short,left,0,Mi.Carter,,0,-0.492192422,0,-0.018036783,0,-0.492192422,NYJ,SHOTGUN,"1 RB, 2 TE, 2 WR",ANGLE,2022,RB
202,2022_01_BAL_NYJ,1.0,10,72,0,1,822,1722,3522,0,3,3,BAL,NYJ,0,0,1,short,right,-4,R.Bateman,8,4,0.075127482,1,0.000774086,1,-1.309200588,BAL,SINGLEBACK,"2 RB, 1 TE, 2 WR",CROSS,2022,WR
230,2022_01_BAL_NYJ,2.0,6,68,0,1,801,1701,3501,0,3,3,BAL,NYJ,1,1,1,short,left,3,D.Duvernay,1,4,-0.105120291,0,0.002137482,1,-0.469484483,BAL,SHOTGUN,"2 RB, 1 TE, 2 WR",HITCH,2022,WR
301,2022_01_BAL_NYJ,2.0,10,60,0,1,679,1579,3379,0,3,3,BAL,NYJ,1,0,1,short,left,2,D.Duvernay,6,8,0.41113182809203863,1,0.00720346,1,-0.732491597,BAL,EMPTY,"0 RB, 2 TE, 3 WR",OUT,2022,WR
412,2022_01_BAL_NYJ,2.0,12,91,0,1,551,1451,3251,0,3,2,NYJ,BAL,1,0,1,short,left,3,Br.Hall,0,3,-0.17972556,0,-0.012357086,1,-0.17972556,NYJ,SHOTGUN,"1 RB, 1 TE, 3 WR",ANGLE,2022,RB
511,2022_01_BAL_NYJ,3.0,9,82,0,1,436,1336,3136,0,3,2,NYJ,BAL,1,0,1,deep,right,16,C.Davis,,0,-1.4236512,0,-0.036600649,0,2.482259192271158,NYJ,SHOTGUN,"1 RB, 1 TE, 3 WR",IN,2022,WR
552,2022_01_BAL_NYJ,1.0,10,66,0,1,425,1325,3125,0,2,3,BAL,NYJ,1,0,1,short,middle,11,I.Likely,,0,-0.547003814,0,-0.015675008,0,0.7996613450814039,BAL,PISTOL,"2 RB, 2 TE, 1 WR",POST,2022,TE
595,2022_01_BAL_NYJ,3.0,9,65,0,1,373,1273,3073,0,2,3,BAL,NYJ,1,0,1,short,right,5,I.Likely,,0,-1.207485142,0,-0.013012886,0,-0.756275376,BAL,EMPTY,"1 RB, 2 TE, 2 WR",OUT,2022,TE
636,2022_01_BAL_NYJ,1.0,10,83,0,1,361,1261,3061,0,3,2,NYJ,BAL,0,0,1,deep,left,21,E.Moore,3,24,1.550977228442207,1,0.033238292,1,1.3741877919528633,NYJ,SINGLEBACK,"1 RB, 2 TE, 2 WR",HITCH,2022,WR
697,2022_01_BAL_NYJ,1.0,19,68,0,1,307,1207,3007,0,3,2,NYJ,BAL,1,0,1,short,middle,14,L.Cager,,0,-6.817973084,0,-0.175966144,0,0.8215332545805722,NYJ,EMPTY,"1 RB, 2 TE, 2 WR",HITCH,2022,TE
744,2022_01_BAL_NYJ,2.0,11,14,0,1,248,1148,2948,0,2,3,BAL,NYJ,1,0,1,short,right,3,D.Robinson,5,8,0.32978995848679915,1,0.003051639,1,-0.385270413,BAL,SHOTGUN,"1 RB, 3 TE, 1 WR",OUT,2022,WR
768,2022_01_BAL_NYJ,3.0,3,6,0,1,204,1104,2904,0,2,3,BAL,NYJ,1,0,1,short,middle,0,I.Likely,,0,-1.439097169,0,-0.030195773,0,-1.486172051,BAL,SHOTGUN,"1 RB, 2 TE, 2 WR",SLANT,2022,TE
824,2022_01_BAL_NYJ,1.0,10,75,0,1,196,1096,2896,-3,3,2,NYJ,BAL,0,0,1,short,middle,0,C.Davis,,0,-0.55710075,0,-0.01913023,0,-0.55710075,NYJ,SINGLEBACK,"1 RB, 1 TE, 3 WR",CORNER,2022,WR
