play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
93,2020_01_ARI_SF,2020091311,run,14,right,tackle,0.8572143006604165,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"2 DL, 5 LB, 4 DB"
118,2020_01_ARI_SF,2020091311,run,2,left,end,-0.454664819,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR",7.0,"2 DL, 5 LB, 4 DB"
143,2020_01_ARI_SF,2020091311,run,-6,right,end,-1.780659827,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"2 DL, 5 LB, 4 DB"
628,2020_01_ARI_SF,2020091311,run,0,left,tackle,-0.870787937,1.0,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB"
873,2020_01_ARI_SF,2020091311,run,2,middle,,-0.432418831,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB"
956,2020_01_ARI_SF,2020091311,run,1,right,end,-1.192366484,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 1 LB, 6 DB"
1011,2020_01_ARI_SF,2020091311,run,9,right,tackle,0.8376431711949408,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
1032,2020_01_ARI_SF,2020091311,run,7,middle,,0.1470508766360581,1.0,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB"
1118,2020_01_ARI_SF,2020091311,run,3,left,tackle,-0.341929476,1.0,I_FORM,"2 RB, 2 TE, 1 WR",7.0,"3 DL, 4 LB, 4 DB"
1144,2020_01_ARI_SF,2020091311,run,9,left,end,0.7661702292971313,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR",6.0,"2 DL, 5 LB, 4 DB"
1184,2020_01_ARI_SF,2020091311,run,3,middle,,-0.140370904,1.0,I_FORM,"2 RB, 2 TE, 1 WR",7.0,"3 DL, 4 LB, 4 DB"
