play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel
68,2022_01_BAL_NYJ,2022091107,run,19,left,end,1.4688192326575518,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
115,2022_01_BAL_NYJ,2022091107,run,5,left,end,-0.325931259,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
254,2022_01_BAL_NYJ,2022091107,run,4,right,tackle,0.8950552199967206,1.0,EMPTY,"1 RB, 2 TE, 2 WR"
275,2022_01_BAL_NYJ,2022091107,run,0,right,end,-0.529274165,1.0,SHOTGUN,"2 RB, 2 TE, 1 WR"
330,2022_01_BAL_NYJ,2022091107,run,1,right,tackle,-1.866571852,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
391,2022_01_BAL_NYJ,2022091107,run,-2,right,end,-1.058822302,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
469,2022_01_BAL_NYJ,2022091107,run,1,middle,,-0.60292974,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR"
490,2022_01_BAL_NYJ,2022091107,run,0,left,guard,-0.752288276,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
574,2022_01_BAL_NYJ,2022091107,run,1,middle,,-0.82677959,1.0,PISTOL,"2 RB, 2 TE, 1 WR"
660,2022_01_BAL_NYJ,2022091107,run,1,right,end,-0.742475949,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
723,2022_01_BAL_NYJ,2022091107,run,-1,left,tackle,-0.80613066,1.0,PISTOL,"1 RB, 2 TE, 2 WR"
959,2022_01_BAL_NYJ,2022091107,run,3,middle,,-0.369019966,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR"
1099,2022_01_BAL_NYJ,2022091107,run,4,left,tackle,-0.201148215,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
1144,2022_01_BAL_NYJ,2022091107,run,0,middle,,-0.412672426,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
1378,2022_01_BAL_NYJ,2022091107,run,14,right,end,0.9527401409577578,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
1696,2022_01_BAL_NYJ,2022091107,run,5,right,guard,0.10700867790728807,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
1717,2022_01_BAL_NYJ,2022091107,run,22,middle,,1.4016973210964352,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
1803,2022_01_BAL_NYJ,2022091107,run,5,left,tackle,-0.289439859,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
1841,2022_01_BAL_NYJ,2022091107,run,0,middle,,-1.615063663,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1994,2022_01_BAL_NYJ,2022091107,run,3,left,guard,-0.128992111,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
2049,2022_01_BAL_NYJ,2022091107,run,2,right,guard,-0.46415756,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
2092,2022_01_BAL_NYJ,2022091107,run,8,left,end,1.8379309931769967,1.0,SHOTGUN,"2 RB, 2 TE, 1 WR"
2113,2022_01_BAL_NYJ,2022091107,run,1,right,tackle,-0.319372779,1.0,I_FORM,"2 RB, 1 TE, 2 WR"
2314,2022_01_BAL_NYJ,2022091107,run,6,left,end,0.31855561840347946,1.0,PISTOL,"2 RB, 1 TE, 2 WR"
2340,2022_01_BAL_NYJ,2022091107,run,6,right,tackle,0.46635828586295247,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
2361,2022_01_BAL_NYJ,2022091107,run,-1,left,end,-0.819105063,1.0,PISTOL,"1 RB, 1 TE, 3 WR"
2385,2022_01_BAL_NYJ,2022091107,run,1,left,end,-0.367230493,1.0,EMPTY,"2 RB, 1 TE, 2 WR"
2457,2022_01_BAL_NYJ,2022091107,run,1,left,tackle,-0.563372159,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
2530,2022_01_BAL_NYJ,2022091107,run,2,middle,,-0.398071151,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
2551,2022_01_BAL_NYJ,2022091107,run,6,middle,,0.2628572480753064,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
2659,2022_01_BAL_NYJ,2022091107,run,8,right,tackle,0.5086730900220573,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR"
2680,2022_01_BAL_NYJ,2022091107,run,10,middle,,0.6893798371311277,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
3026,2022_01_BAL_NYJ,2022091107,run,8,left,guard,0.5686490791849792,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR"
3163,2022_01_BAL_NYJ,2022091107,run,4,right,guard,-0.117821536,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
3398,2022_01_BAL_NYJ,2022091107,run,0,middle,,-1.230626725,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
3742,2022_01_BAL_NYJ,2022091107,run,1,left,end,-0.102046699,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
4171,2022_01_BAL_NYJ,2022091107,qb_kneel,-1,,,-1.124947934,1.0,,"2 RB, 2 TE, 1 WR"
4200,2022_01_BAL_NYJ,2022091107,qb_kneel,-1,,,-1.299738993,1.0,,"2 RB, 2 TE, 1 WR"
80,2022_01_BUF_LA,2022090800,run,7,right,end,0.5902524851262569,1.0,EMPTY,"1 RB, 1 TE, 3 WR"
101,2022_01_BUF_LA,2022090800,run,7,right,end,0.44964486244134605,1.0,I_FORM,"2 RB, 1 TE, 2 WR"
146,2022_01_BUF_LA,2022090800,run,2,left,tackle,-0.434645395,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
191,2022_01_BUF_LA,2022090800,run,1,right,end,-0.590365699,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
299,2022_01_BUF_LA,2022090800,run,5,middle,,-0.190116307,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
343,2022_01_BUF_LA,2022090800,run,2,middle,,-0.724307159,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
393,2022_01_BUF_LA,2022090800,run,1,right,guard,-0.456691827,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
